county,TAZ,tm15,link21,jobs
6075,55,HEREMPN,RECS,15
6075,55,MWTEMPN,MFRG,1
6075,55,OTHEMPN,CONS,25
6075,55,RETEMPN,RETL,1
6075,56,FPSEMPN,FIRE,294
6075,56,HEREMPN,HIED,1
6075,56,HEREMPN,HMED,4
6075,56,HEREMPN,K12E,9
6075,56,HEREMPN,PERS,41
6075,56,HEREMPN,RECS,259
6075,56,MWTEMPN,MFRG,9
6075,56,MWTEMPN,WTWT,6
6075,56,OTHEMPN,FIRE,476
6075,56,RETEMPN,RETL,17
6075,57,FPSEMPN,FIRE,95
6075,57,HEREMPN,PERS,29
6075,57,HEREMPN,RECS,109
6075,57,MWTEMPN,WTWT,9
6075,57,OTHEMPN,FIRE,152
6075,57,OTHEMPN,CONS,76
6075,57,RETEMPN,RETL,2
6075,58,FPSEMPN,FIRE,118
6075,58,HEREMPN,HIED,11
6075,58,HEREMPN,HMED,62
6075,58,HEREMPN,K12E,31
6075,58,HEREMPN,PERS,75
6075,58,HEREMPN,RECS,48
6075,58,HEREMPN,SOCS,8
6075,58,MWTEMPN,WTWT,6
6075,58,OTHEMPN,FIRE,89
6075,58,OTHEMPN,CONS,9
6075,58,OTHEMPN,GOVT,26
6075,58,RETEMPN,RETL,36
6075,58,RETEMPN,RETR,7
6075,59,FPSEMPN,FIRE,318
6075,59,HEREMPN,HIED,5
6075,59,HEREMPN,HMED,344
6075,59,HEREMPN,K12E,57
6075,59,HEREMPN,PERS,16
6075,59,HEREMPN,RECS,41
6075,59,HEREMPN,SOCS,48
6075,59,MWTEMPN,MFRG,8
6075,59,MWTEMPN,WTWT,2
6075,59,OTHEMPN,CONS,76
6075,59,OTHEMPN,GOVT,126
6075,59,RETEMPN,RETL,45
6075,59,RETEMPN,RETR,19
6075,60,FPSEMPN,FIRE,11779
6075,60,FPSEMPN,UTIL,4
6075,60,HEREMPN,HIED,55
6075,60,HEREMPN,HMED,361
6075,60,HEREMPN,PERS,227
6075,60,HEREMPN,RECS,3147
6075,60,HEREMPN,SOCS,27
6075,60,MWTEMPN,MFRG,152
6075,60,MWTEMPN,WTWT,116
6075,60,MWTEMPN,UTIL,1
6075,60,OTHEMPN,FIRE,783
6075,60,OTHEMPN,CONS,240
6075,60,OTHEMPN,GOVT,444
6075,60,RETEMPN,RETL,371
6075,60,RETEMPN,RETR,67
6075,60,AGREMPN,FFRE,6
6075,61,FPSEMPN,FIRE,842
6075,61,HEREMPN,HIED,17
6075,61,HEREMPN,HMED,378
6075,61,HEREMPN,PERS,211
6075,61,HEREMPN,RECS,657
6075,61,MWTEMPN,MFRG,15
6075,61,MWTEMPN,WTWT,17
6075,61,OTHEMPN,FIRE,589
6075,61,OTHEMPN,CONS,55
6075,61,OTHEMPN,GOVT,39
6075,61,RETEMPN,RETL,370
